"id","customerId","orderId","sequence","marketplaceOrderId","marketplaceServicesEndpoint","sellerOrderId","origin","affiliateId","salesChannel","merchantName","status","workflowIsInError","statusDescription","value","creationDate","lastChange","orderGroup","total_Items_value","totaldiscountvalue","totalfreightvalue","openTextField_value","countryCode","currencyCode","StartsWithCurrencySymbol","currencyLocale","currencySymbol","timeZone","locale","postalCode","city","state","country","neighborhood","marketingData_id","utmSource","utmPartner","utmMedium","utmCampaign","coupon","utmiCampaign","utmiPage","utmiPart","marketingTags","userProfileId","userphone","useremail","sellers_id","sellers_name","spostalCode","item_uniqueId","item_sku","item_productId","item_ean","item_quantity","item_seller","item_name","item_refId","item_price","item_listPrice","item_imageUrl","item_detailUrl","item_type","item_brandName","item_brandId","item_categoriesIds","item_categories","item_productClusterId","item_id","visionCategoryName","brand","collections","item_productName","geoCoordinates","updated"
4309,1,v506068fri-01,506068,"",http://oms.vtexinternal.com.br/api/oms?an=farmlatam,"00-v506068fri-01",Marketplace,"","1",,invoiced,false,Faturado,86360.0,2024-09-06 01:53:56.853,2024-09-06 10:03:16.516,v506068fri,995.0,-149.24,0.0,,ARG,BRL,true,1046,R$,Argentina Standard Time,"","7500000",,Región Metropolitana,CHL,Providencia,marketingData,Google,,,,BIENVENIDA,,"",,"","36249784-c14a-4101-8769-3fa78a635ca3",+56997440424,"7ecad30bb79d4d41bb90b27c08c7e42c@ct.vtex.com.br","1",GRUPO DE MODA SOMA - BR,"7500000","2BE6F65F6A6C4663ACFA972165FAB6E2","484342","141646","33441449571G",1,"1",Vestido Corto Flor Em Mosaico Est Flor Em Mosaico_Espelhado_Off White - L,"334414_49571_4",497.5,497.5,https://farmlatam.vteximg.com.br/arquivos/ids/536946-500-750/334414_49571_1-VESTIDO-CURTO-ESTAMPADO-FLOR-EM-MOSAICO.jpg?v=638520980520800000,/vestido-corto-flor-em-mosaico-est-flor-em-mosaico_espelhado_off-white-334414-49571/p,"",Farm,"2000000",/1/13/,"Vestido,Moda Feminina","196,204,252,262,267,268,269,288,485,516,772,786,859,877,909,932,970,974,1076,1104,1106,1140,1141","484342",Vestidos,Farm,"",Vestido Corto Flor Em Mosaico Est Flor Em Mosaico_Espelhado_Off White,"(0, 0)",true
4310,1,v506064fri-01,506064,"",http://oms.vtexinternal.com.br/api/oms?an=farmlatam,"00-v506064fri-01",Marketplace,"","1",,invoiced,false,Faturado,115284.0,2024-09-06 01:07:09.052,2024-09-06 10:03:15.341,v506064fri,1135.0,0.0,0.0,,ARG,BRL,true,1046,R$,Argentina Standard Time,"","2520000",,Región de Valparaíso (V),CHL,Viña Del Mar,marketingData,facebook,,cpc,"120212179801530603",,,"",,"","25e2fb56-023b-42cb-a9f8-86302e7518d8",+56985951337,"15a1e5ccdfa34cd2a2fe6001c3a76936@ct.vtex.com.br","1",GRUPO DE MODA SOMA - BR,"2520000",BD5FB53F86664606AC4DDDCC86D246F2,"472565","89350","33166848288G",1,"1",Enterito Sonho Dos Pájaros Est Sonho Dos Passaros_Preto - L,"331668_48288_4",561.25,561.25,https://farmlatam.vteximg.com.br/arquivos/ids/544044-500-750/331668_48288_1-MACACAO-ESTAMPADO-SONHO-DOS-PASSAROS.jpg?v=638521658194200000,/enterito-sonho-dos-pajaros-est-sonho-dos-passaros_preto-331668-48288/p,"",Farm,"2000000",/1/10/,"Enterito,Moda Feminina","267,268,269,664,772,773,877,909,970,1076,1106,1137,1138,1141,1142","472565",Macacão,Farm,"",Enterito Sonho Dos Pájaros,"(0, 0)",true
4363,1,v506331fri-01,506331,"",http://oms.vtexinternal.com.br/api/oms?an=farmlatam,"00-v506331fri-01",Marketplace,"","1",,invoiced,false,Faturado,56068.0,2024-09-10 00:36:23.690,2024-09-10 09:30:16.330,v506331fri,622.5,-93.38,0.0,,ARG,BRL,true,1046,R$,Argentina Standard Time,"","11001","Bogotá, D.c.","Bogotá, D.C.",COL,San patricio,marketingData,facebook,,cpc,"120210934926480772",BIENVENIDA,,"",,"","9d0389c8-8d35-44da-a019-f0a453be6eb0",+573125572578,be77d9388d8748be86c6d078f3bfb38c@ct.vtex.com.br,"1",GRUPO DE MODA SOMA - BR,"11001","860D5801574E420EAD7EFB04B5EBD26B","471300","88410","33049248300P",1,"1",Vestido Pregas Luiza Luiza_Verde Broto - S,"330492_48300_2",622.5,622.5,https://farmlatam.vteximg.com.br/arquivos/ids/568124-500-750/330492_48300_1-VESTIDO-MIDI-ESTAMPADO-LUIZA.jpg?v=638581448668530000,/vestido-pregas-luiza-luiza_verde-broto-330492-48300/p,"",Farm,"2000000",/1/13/,"Vestido,Moda Feminina","196,204,235,267,268,269,288,485,516,559,772,786,869,877,909,932,970,974,1046,1076,1104,1106,1141,1162","471300",Vestidos,Farm,"",Vestido Pregas Luiza,"(-74.07209014892578, 4.710988521575928)",true
4364,1,v506318fri-01,506318,"",http://oms.vtexinternal.com.br/api/oms?an=farmlatam,"00-v506318fri-01",Marketplace,"","1",,invoiced,false,Faturado,89051.0,2024-09-10 00:08:28.488,2024-09-10 12:18:07.493,v506318fri,872.5,0.0,0.0,,ARG,BRL,true,1046,R$,Argentina Standard Time,"","7750000",,Región Metropolitana,CHL,Ñuñoa,marketingData,facebook,,cpc,"120212179801530603","",semcodigo,"",,"","3470d329-9583-4616-8f99-b3acea061815","997414728","31ff77f91a5f4ce6b6526b5cd2b8a5f6@ct.vtex.com.br","1",GRUPO DE MODA SOMA - BR,"7750000",F4742A6F2157467FACEEF9BD27272781,"457732","79198","32587646652M",1,"1",Bomber Lenco Das Araras Lenco Das Araras_Vermelho Pinhao - M,"325876_46652_3",248.75,497.5,https://farmlatam.vteximg.com.br/arquivos/ids/345470-500-750/325876_46652_1-BOMBER-ESTAMPADA-LENCO-DAS-ARARAS.jpg?v=638410386470830000,/bomber-lenco-das-araras-lenco-das-araras_vermelho-pinhao-325876-46652/p,"",Farm,"2000000",/2/381/,"Casaco,bazar farm","1076","457732",OUTRAS,Farm,"",Bomber Lenco Das Araras Lenco Das Araras_Vermelho Pinhao,"(0, 0)",true
4415,1,v506605fri-01,506605,"",http://oms.vtexinternal.com.br/api/oms?an=farmlatam,"00-v506605fri-01",Marketplace,"","1",,invoiced,false,Faturado,59249.0,2024-09-15 14:29:59.153,2024-09-16 11:32:23.192,v506605fri,561.25,0.0,0.0,,ARG,BRL,true,1046,R$,Argentina Standard Time,"","11001","Bogotá, D.c.","Bogotá, D.C.",COL,Rosales,marketingData,facebook,,cpc,"120213004274670772",,,"",,"","8e5f773e-79e4-4b27-9592-dd39cf4442c4","0573177003623","102dd19b7c8a4608bc469f5ce3af1bee@ct.vtex.com.br","1",GRUPO DE MODA SOMA - BR,"11001","6D39E9B27BAF47EF846D935645984D93","471718","88669","33116748678M",1,"1",Vestido Cropped Tropicaxi Tropicaxi_Localizado_Verde Absinto - M,"331167_48678_3",561.25,561.25,https://farmlatam.vteximg.com.br/arquivos/ids/539806-500-750/331167_48678_1-VESTIDO-CROPPED-ESTAMPADO-TROPICAXI.jpg?v=638521015769770000,/vestido-cropped-tropicaxi-tropicaxi_localizado_verde-absinto-331167-48678/p,"",Farm,"2000000",/1/13/,"Vestido,Moda Feminina","196,204,263,278,329,485,516,772,786,869,909,970,974,1076,1106,1138,1141,1146,1151","471718",Vestidos,Farm,"",Vestido Cropped Tropicaxi,"(-74.07209014892578, 4.710988521575928)",true
4663,1,v509420fri-01,509420,"",http://oms.vtexinternal.com.br/api/oms?an=farmlatam,"00-v509420fri-01",Marketplace,"","1",,invoiced,false,Faturado,59734.0,2024-10-01 23:21:31.886,2024-10-02 06:14:56.268,v509420fri,560.25,0.0,0.0,,ARG,BRL,true,1046,R$,Argentina Standard Time,"","1100000",,REGIÓN DE TARAPACÁ (I),CHL,Iquique,marketingData,Google,,,,"",,"",,"","074b5dfd-8ae7-44c6-b93f-bf2346dedaf5","976638883","0c03d1feab9d45efbd7c6774138b0996@ct.vtex.com.br","1",GRUPO DE MODA SOMA - BR,"1100000","28D0CF3F979040EC9CBEFFCCAB6E4448","466532","85107","32847446703M",1,"1",Vestido Cropped Pájaros Amazonia Est Passaros Amazonia_Preto - M,"328474_46703_3",560.25,622.5,https://farmlatam.vteximg.com.br/arquivos/ids/525836-500-750/328474_46703_1-VESTIDO-CROPPED-ESTAMPADO-PASSAROS-AMAZONIA.jpg?v=638497730469630000,/vestido-cropped-pajaros-amazonia-est-passaros-amazonia_preto-328474-46703/p,"",Farm,"2000000",/2/385/,"Vestido,bazar farm","949,952,1048,1076,1079,1081,1118,1129","466532",Vestidos,Farm,"",Vestido Cropped Pájaros Amazonia Est Passaros Amazonia_Preto,"(0, 0)",true
4664,1,v509418fri-01,509418,"",http://oms.vtexinternal.com.br/api/oms?an=farmlatam,"00-v509418fri-01",Marketplace,"","1",,invoiced,false,Faturado,60374.0,2024-10-01 23:00:53.432,2024-10-02 12:45:01.185,v509418fri,661.25,-99.19,0.0,,ARG,BRL,true,1046,R$,Argentina Standard Time,"","11001","Bogotá, D.c.","Bogotá, D.C.",COL,Bella suiza,marketingData,,,,,Bienvenida,,"",,"","3d4c0c39-9000-411f-8aa9-073070f367e3",+573168307943,a908c10466d04558ad83932fd87ed447@ct.vtex.com.br,"1",GRUPO DE MODA SOMA - BR,"11001",DA11D2AA818A4EB79D49B3C5178DEA27,"470362","87708","33022648261P",1,"1",Vestido Tricot Lenco Astral Est Lenco Astral_Rosa Buque - S,"330226_48261_2",661.25,661.25,https://farmlatam.vteximg.com.br/arquivos/ids/560883-500-750/330226_48261_1-VESTIDO-TRICOT-ESTAMPADO-LENCO-ASTRAL.jpg?v=638554664362770000,/vestido-tricot-lenco-astral-est-lenco-astral_rosa-buque-330226-48261/p,"",Farm,"2000000",/1/13/,"Vestido,Moda Feminina","250,516,559,691,697,755,772,786,859,917,932,967,970,1076,1104,1106,1135,1139,1141,1162,1167,1168","470362",Vestidos,Farm,"",Vestido Tricot Lenco Astral,"(-74.07209014892578, 4.710988521575928)",true
4665,1,v509414fri-01,509414,"",http://oms.vtexinternal.com.br/api/oms?an=farmlatam,"00-v509414fri-01",Marketplace,"","1",,invoiced,false,Faturado,52937.0,2024-10-01 22:57:18.126,2024-10-02 06:14:54.883,v509414fri,573.75,-86.06,0.0,,ARG,BRL,true,1046,R$,Argentina Standard Time,"","150131",Lima,Lima,PER,San Isidro,marketingData,facebook,,cpc,"120210590357910331",BIENVENIDA,semcodigo,"",,"","869c48d6-1b46-4636-9541-7b0c686c42ab",+51920144858,"46ed3aa9016d40418de44601f7f88f52@ct.vtex.com.br","1",GRUPO DE MODA SOMA - BR,"150131","2C047C447AF24B1ABA59188FEB096CE1","471858","88761","33135148311M",1,"1",Vestido Languido Voo Doce Est Voo Doce_Preto - M,"331351_48311_3",573.75,573.75,https://farmlatam.vteximg.com.br/arquivos/ids/553412-500-750/331351_48311_1-VESTIDO-LANGUIDO-ESTAMPADO-VOO-DOCE.jpg?v=638531121053200000,/vestido-languido-voo-doce-est-voo-doce_preto-331351-48311/p,"",Farm,"2000000",/1/13/,"Vestido,Moda Feminina","204,516,559,772,786,909,967,970,974,1076,1106,1138,1141,1144,1167,1168","471858",Vestidos,Farm,"",Vestido Languido Voo Doce Est Voo Doce_Preto,"(-77.04055528496944, -12.095474561612042)",true
2701,1,v500878fri-01,500878,"",http://oms.vtexinternal.com.br/api/oms?an=farmlatam,"00-v500878fri-01",Marketplace,"","1",,invoiced,false,Faturado,71162.0,2024-05-20 15:14:05.770,2024-05-20 17:30:43.358,v500878fri,837.2,-125.58,0.0,,ARG,BRL,true,1046,R$,Argentina Standard Time,"","11001","Bogotá, D.c.","Bogotá, D.C.",COL,Chico,marketingData,,,,,Bienvenida,,"",,"","1383760f-69d4-4646-ab41-6c848c52f615",+573155727987,"1abd7d5d01144a75abaf37ce13255325@ct.vtex.com.br","1",GRUPO DE MODA SOMA - BR,"11001",B45B9556B1C34C2DA68B5E6508F11380,"452162","74422","32396346261P",1,"1",Vestido Vazado Cogumelos Cogumelos_Preto - S,"323963_46261_2",837.2,837.2,https://farmlatam.vteximg.com.br/arquivos/ids/357780-500-750/323963_46261_1-VESTIDO-VAZADO-ESTAMPADO-COGUMELOS.jpg?v=638415776164200000,/vestido-vazado-cogumelos-cogumelos_preto-323963-46261/p,"",Farm,"2000000",/1/13/,"Vestido,Moda Feminina","559,621,772,786,948,952,959,967,970,1051,1053,1076,1081","452162",Vestidos,Farm,"",Vestido Vazado Cogumelos Cogumelos_Preto,"(-74.07209014892578, 4.710988521575928)",true
2702,1,v500871fri-01,500871,"",http://oms.vtexinternal.com.br/api/oms?an=farmlatam,"00-v500871fri-01",Marketplace,"","1",,invoiced,false,Faturado,201586.0,2024-05-20 12:33:51.959,2024-05-20 17:30:42.128,v500871fri,2371.6,-355.74,0.0,,ARG,BRL,true,1046,R$,Argentina Standard Time,"","7630000",,Región Metropolitana,CHL,Vitacura,marketingData,Google,,,,BIENVENIDA,,"",,"","7b3d15a8-2cac-4172-93a3-85ec073626b9",+56999991951,"18130ebfb80b42668cb581f75806cf71@ct.vtex.com.br","1",GRUPO DE MODA SOMA - BR,"7630000",E968CAA70183449191DAB0E36ED9427D,"451179","73811","32380146257M",1,"1",Blazer Oversized Danca Das Sereias Danca Das Sereias_Azul Intenso - M,"323801_46257_3",697.2,697.2,https://farmlatam.vteximg.com.br/arquivos/ids/484054-500-750/323801_46257_1-BLAZER-OVERSIZED-ESTAMPADO-DANCA-DAS-SEREIAS.jpg?v=638437091607900000,/blazer-oversized-danca-das-sereias-danca-das-sereias_azul-intenso-323801-46257/p,"",Farm,"2000000",/1/9/,"Abrigo,Moda Feminina","426,559,680,749,772,799,948,959,967,970,1051,1076,1081,1105","451179",Blazers,Farm,"",Blazer Oversized Danca Das Sereias Danca Das Sereias_Azul Intenso,"(0, 0)",true
